device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,capacity_ips,lambda_frac,target_rps,n_runs,achieved_rps_median,achieved_rps_min,achieved_rps_max,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,batch_size
gpu-server,efficientnet-b4,6,1410MHz,dvfs6,server,117.6,1.0,117.6,10,118.225,115.35,120.93,68.66,79.96,105.45,176.03,70.645,0.600375,0.583299,0.608929,1
gpu-server,efficientnet-b4,7,1545MHz,dvfs7,server,129.4,0.25,32.35,10,32.22,30.92,33.48,39.4,40.83,107.6,126.455,18.675,0.582635,0.550824,0.613263,1
gpu-server,efficientnet-b4,7,1545MHz,dvfs7,server,129.4,0.5,64.7,10,64.265,62.17,66.37,38.345,39.89,108.375,148.23,39.995,0.623943,0.615121,0.635971,1
gpu-server,efficientnet-b4,7,1545MHz,dvfs7,server,129.4,0.75,97.05,10,96.05,94.05,99.23,41.375,45.7,108.925,172.43,63.975,0.665106,0.647747,1.165825,1
gpu-server,efficientnet-b4,7,1545MHz,dvfs7,server,129.4,1.0,129.4,10,129.775,126.15,130.77,69.855,81.25,111.4,200.68,89.905,0.691323,0.686009,0.700192,1
gpu-server,efficientnet-b4,8,1710MHz,dvfs8,server,129.4,0.25,32.35,10,32.365,31.48,33.22,39.03,40.25,113.8,136.185,22.465,0.68546,0.61675,0.726493,1
gpu-server,efficientnet-b4,8,1710MHz,dvfs8,server,129.4,0.5,64.7,10,64.885,63.28,66.08,38.135,38.87,115.4,164.565,48.775,0.753322,0.728935,0.791093,1
gpu-server,efficientnet-b4,8,1710MHz,dvfs8,server,129.4,0.75,97.05,10,96.335,93.92,99.18,38.99,41.08,118.7,196.785,79.355,0.8182,0.804798,1.384087,1
gpu-server,efficientnet-b4,8,1710MHz,dvfs8,server,129.4,1.0,129.4,10,129.025,126.88,131.37,50.99,58.25,123.5,240.98,117.685,0.907601,0.862553,0.924923,1
gpu-server,efficientnet-b4,9,1800MHz,dvfs9,server,133.6,0.25,33.4,10,33.65,32.42,34.63,39.0,40.7,120.55,147.71,27.46,0.813136,0.786294,0.861369,1
gpu-server,efficientnet-b4,9,1800MHz,dvfs9,server,133.6,0.5,66.8,10,66.46,65.32,68.6,38.05,40.16,124.125,186.015,60.68,0.914824,0.876761,0.952173,1
gpu-server,efficientnet-b4,9,1800MHz,dvfs9,server,133.6,0.75,100.2,10,100.5,97.28,101.28,39.38,41.95,129.55,239.17,108.605,1.08696,1.05001,1.105337,1
gpu-server,efficientnet-b4,9,1800MHz,dvfs9,server,133.6,1.0,133.6,10,132.7,129.63,137.28,65.185,91.67,127.675,274.97,147.53,1.106067,1.096351,1.12464,1
gpu-server,efficientnet-b4,10,1905MHz,dvfs10,server,118.1,0.25,29.52,10,29.305,27.77,30.08,38.58,39.92,135.775,168.045,32.275,1.080951,1.02983,1.16825,1
gpu-server,efficientnet-b4,10,1905MHz,dvfs10,server,118.1,0.5,59.05,10,58.55,56.9,60.22,37.955,39.01,143.525,226.87,83.945,1.424845,1.308064,1.512852,1
gpu-server,efficientnet-b4,10,1905MHz,dvfs10,server,118.1,0.75,88.57,10,88.25,85.9,89.45,42.24,45.8,139.6,268.94,129.5,1.466951,1.396879,1.501979,1
gpu-server,efficientnet-b4,10,1905MHz,dvfs10,server,118.1,1.0,118.1,10,118.475,116.27,120.35,141.655,213.53,139.325,283.655,143.87,1.218061,1.198153,1.23765,1
gpu-server,efficientnet-b4,11,1950MHz,dvfs11,server,118.1,0.25,29.52,10,29.52,28.47,30.9,38.88,39.92,140.75,175.65,34.91,1.194377,1.122167,1.248867,1
