device,model,policy,accuracy,capacity_ips,capacity_ci_min,capacity_ci_max,capacity_binary_search_ips,p95_median_ms,p95_ci_max,warm_idle_w,serving_w,delta_w,marginal_wall_energy_j_per_inf,n_conf_runs,slo_infeasible,power_source
orangepi,mobilenet-v2-050,capacity,0.517,102.5,102.4,103.2,102.4,96.9,104.9,2.65,12.92,10.27,0.1002,3.0,False,20260418T004254+0900_983_orangepi_mob050_e_inc_cpu_v2.json
orangepi,mobilenet-v2-100,capacity,0.591,44.5,44.1,44.9,43.8,91.6,106.2,2.8,11.81,9.01,0.2025,3.0,False,20260418T005807+0900_367_orangepi_mob100_e_inc_cpu_v2.json
orangepi-npu,efficientnet-b4,capacity,0.732,0.0,,,0.0,,,,,,,,True,
orangepi-npu,mobilenet-v2-050,capacity,0.517,221.0,218.9,221.9,222.7,61.6,70.9,2.8,5.12,2.32,0.0105,3.0,False,20260418T011114+0900_608_orangepi-npu_mob050_e_inc_rknpu_v2.json
orangepi-npu,mobilenet-v2-100,capacity,0.591,154.5,153.8,156.4,154.1,81.3,115.9,2.7,5.1,2.4,0.0155,3.0,False,20260418T012606+0900_464_orangepi-npu_mob100_e_inc_rknpu_v2.json
orin,efficientnet-b4,capacity,0.732,83.0,82.8,83.3,81.6,94.1,104.4,13.3,38.86,25.56,0.308,3.0,False,20260418T023621+0900_457_orin_effb4_capacity_trt_v2.json
orin,mobilenet-v2-050,capacity,0.517,392.6,387.9,393.4,390.6,71.3,71.8,11.35,16.11,4.76,0.0121,3.0,False,20260418T020909+0900_104_orin_mob050_e_inc_trt_v2.json
orin,mobilenet-v2-100,capacity,0.591,320.0,317.1,321.6,318.8,75.0,120.8,11.4,17.39,5.99,0.0187,3.0,False,20260418T022148+0900_759_orin_mob100_e_inc_trt_v2.json
rasp5,efficientnet-b4,capacity,0.732,,,,,,,,,,,,True,
rasp5,mobilenet-v2-050,capacity,0.517,42.3,42.1,42.3,43.0,79.9,80.7,4.9,9.23,4.33,0.1024,3.0,False,20260418T015233+0900_412_rasp5_mob050_e_inc_cpu_v2.json
rasp5,mobilenet-v2-100,capacity,0.591,12.9,12.5,13.2,13.0,96.5,100.4,4.8,7.59,2.79,0.2163,3.0,False,20260418T020550+0900_012_rasp5_mob100_e_inc_cpu_v2.json
xavier,efficientnet-b4,capacity,0.732,1.4,1.2,1.6,1.4,83.0,105.8,10.0,10.37,0.37,0.2643,3.0,False,20260418T015207+0900_529_xavier_effb4_e_inc_trt_v2.json
xavier,mobilenet-v2-050,capacity,0.517,212.6,209.7,213.8,212.5,78.0,96.2,9.6,14.47,4.87,0.0229,3.0,False,20260418T021724+0900_034_xavier_mob050_e_inc_trt_v2.json
xavier,mobilenet-v2-100,capacity,0.591,142.6,141.2,143.8,142.2,84.6,84.9,9.8,15.14,5.34,0.0374,3.0,False,20260418T023137+0900_167_xavier_mob100_e_inc_trt_v2.json
