device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,lambda_frac,capacity_ips,capacity_selection,capacity_power_status,capacity_delta_w,target_rps,achieved_rps_median,achieved_target_ratio,n_runs,p95_latency_ms_median,p95_latency_ms_max,warm_idle_w_median,serving_w_median,delta_w_median,marginal_wall_energy_j_per_inf_median,marginal_wall_energy_j_per_inf_min,marginal_wall_energy_j_per_inf_max,flag_slo_median_violation,flag_slo_any_run_violation,flag_low_delta_median,flag_nonpositive_delta_run,flag_nonpositive_energy_run,n_runs_p95_gt_lmax,n_runs_delta_le_zero,n_runs_delta_lt_low,n_runs_energy_le_zero,source_capacity_json
xavier,mobilenet-v2-050,3,MODE_10W_2CORE,dvfs3,jetson,1.0,218.8,confirmed,ok,3.77,218.8,217.68,0.994881,10,87.23,841.04,9.4,13.415,4.0,0.018434,0.018033,0.018804,0,1,0,0,0,3,0,0,0,20260508T062135+0900_807_xavier_mob050_dvfs3_trt_v2.json
xavier,mobilenet-v2-050,4,MODE_10W_4CORE,dvfs4,jetson,0.25,225.6,confirmed_after_backoff,ok,3.94,56.4,55.64,0.986525,10,13.625,13.88,9.525,10.605,1.06,0.019103,0.016522,0.021654,0,0,0,0,0,0,0,0,0,20260508T063545+0900_757_xavier_mob050_dvfs4_trt_v2.json
xavier,mobilenet-v2-050,4,MODE_10W_4CORE,dvfs4,jetson,0.5,225.6,confirmed_after_backoff,ok,3.94,112.8,113.155,1.003147,10,17.395,18.01,9.5,11.61,2.15,0.018891,0.016674,0.019726,0,0,0,0,0,0,0,0,0,20260508T063545+0900_757_xavier_mob050_dvfs4_trt_v2.json
xavier,mobilenet-v2-050,4,MODE_10W_4CORE,dvfs4,jetson,0.75,225.6,confirmed_after_backoff,ok,3.94,169.2,169.49,1.001714,10,25.995,27.87,9.5,12.59,3.1,0.018405,0.017573,0.018813,0,0,0,0,0,0,0,0,0,20260508T063545+0900_757_xavier_mob050_dvfs4_trt_v2.json
xavier,mobilenet-v2-050,4,MODE_10W_4CORE,dvfs4,jetson,1.0,225.6,confirmed_after_backoff,ok,3.94,225.6,226.875,1.005652,10,61.205,119.66,9.5,13.585,4.095,0.018006,0.01727,0.018571,0,1,0,0,0,1,0,0,0,20260508T063545+0900_757_xavier_mob050_dvfs4_trt_v2.json
xavier,mobilenet-v2-050,5,MODE_10W_DESKTOP,dvfs5,jetson,0.25,212.5,confirmed,ok,4.57,53.12,53.1,0.999623,10,13.59,14.07,9.575,10.93,1.365,0.025509,0.023006,0.027177,0,0,0,0,0,0,0,0,0,20260508T065832+0900_837_xavier_mob050_dvfs5_trt_v2.json
xavier,mobilenet-v2-050,5,MODE_10W_DESKTOP,dvfs5,jetson,0.5,212.5,confirmed,ok,4.57,106.25,105.9,0.996706,10,17.755,18.37,9.6,12.12,2.545,0.024018,0.022643,0.025031,0,0,0,0,0,0,0,0,0,20260508T065832+0900_837_xavier_mob050_dvfs5_trt_v2.json
xavier,mobilenet-v2-050,5,MODE_10W_DESKTOP,dvfs5,jetson,0.75,212.5,confirmed,ok,4.57,159.38,158.895,0.996957,10,26.07,29.24,9.6,13.275,3.665,0.023067,0.022375,0.024204,0,0,0,0,0,0,0,0,0,20260508T065832+0900_837_xavier_mob050_dvfs5_trt_v2.json
xavier,mobilenet-v2-050,5,MODE_10W_DESKTOP,dvfs5,jetson,1.0,212.5,confirmed,ok,4.57,212.5,213.86,1.0064,10,86.66,147.45,9.575,14.515,4.925,0.023102,0.021906,0.023502,0,1,0,0,0,3,0,0,0,20260508T065832+0900_837_xavier_mob050_dvfs5_trt_v2.json
xavier,mobilenet-v2-050,6,MODE_20W_2CORE,dvfs6,jetson,0.25,273.1,confirmed_after_backoff,ok,6.42,68.28,68.165,0.998316,10,11.795,12.51,10.15,11.91,1.745,0.025723,0.024336,0.027742,0,0,0,0,0,0,0,0,0,20260508T071244+0900_834_xavier_mob050_dvfs6_trt_v2.json
