device,model,dvfs_mode,dvfs_mode_label,condition_tag,segment,capacity_ips,lambda_frac,target_rps,run_idx,achieved_rps,p95_latency_ms,warm_idle_w,serving_w,delta_w,marginal_wall_energy_j_per_inf,n_valid_power_runs,power_status,source_json,batch_size
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,0,1.53,41.91,98.0,99.86,1.86,1.215686,1,ok,20260514T112741+0900_448_gpu-server_effb4_dvfs0_cuda_l025_r0_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,1,1.42,41.13,98.8,100.01,1.21,0.852113,1,ok,20260514T112901+0900_597_gpu-server_effb4_dvfs0_cuda_l025_r1_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,2,1.4,51.6,98.2,100.41,2.21,1.578571,1,ok,20260514T113020+0900_360_gpu-server_effb4_dvfs0_cuda_l025_r2_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,3,1.13,39.71,99.0,100.03,1.03,0.911504,1,ok,20260514T113140+0900_525_gpu-server_effb4_dvfs0_cuda_l025_r3_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,4,1.38,39.5,98.55,100.22,1.67,1.210145,1,ok,20260514T113300+0900_577_gpu-server_effb4_dvfs0_cuda_l025_r4_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,5,1.27,40.08,98.6,100.21,1.61,1.267717,1,ok,20260514T113420+0900_558_gpu-server_effb4_dvfs0_cuda_l025_r5_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,6,1.3,40.11,97.8,100.14,2.34,1.8,1,ok,20260514T113539+0900_951_gpu-server_effb4_dvfs0_cuda_l025_r6_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,7,1.05,39.97,98.6,100.09,1.49,1.419048,1,ok,20260514T113659+0900_388_gpu-server_effb4_dvfs0_cuda_l025_r7_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,8,1.15,44.43,98.4,100.0,1.6,1.391304,1,ok,20260514T113819+0900_372_gpu-server_effb4_dvfs0_cuda_l025_r8_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.25,1.35,9,1.32,39.28,98.5,100.12,1.62,1.227273,1,ok,20260514T113939+0900_535_gpu-server_effb4_dvfs0_cuda_l025_r9_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,0,2.5,45.06,99.3,101.15,1.85,0.74,1,ok,20260514T114059+0900_742_gpu-server_effb4_dvfs0_cuda_l050_r0_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,1,2.32,56.67,99.55,100.72,1.17,0.50431,1,ok,20260514T114219+0900_260_gpu-server_effb4_dvfs0_cuda_l050_r1_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,2,3.0,52.45,97.8,101.03,3.23,1.076667,1,ok,20260514T114339+0900_297_gpu-server_effb4_dvfs0_cuda_l050_r2_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,3,3.03,59.35,98.0,101.51,3.51,1.158416,1,ok,20260514T114459+0900_236_gpu-server_effb4_dvfs0_cuda_l050_r3_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,4,2.93,63.03,98.95,101.48,2.53,0.863481,1,ok,20260514T114618+0900_913_gpu-server_effb4_dvfs0_cuda_l050_r4_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,5,2.62,55.92,98.6,101.24,2.64,1.007634,1,ok,20260514T114739+0900_049_gpu-server_effb4_dvfs0_cuda_l050_r5_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,6,2.73,54.12,98.6,101.21,2.61,0.956044,1,ok,20260514T114858+0900_973_gpu-server_effb4_dvfs0_cuda_l050_r6_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,7,2.95,55.56,98.4,101.51,3.11,1.054237,1,ok,20260514T115019+0900_009_gpu-server_effb4_dvfs0_cuda_l050_r7_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,8,3.02,59.81,98.7,101.47,2.77,0.917219,1,ok,20260514T115138+0900_701_gpu-server_effb4_dvfs0_cuda_l050_r8_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.5,2.7,9,2.53,56.95,98.6,100.98,2.38,0.940711,1,ok,20260514T115258+0900_132_gpu-server_effb4_dvfs0_cuda_l050_r9_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,0,4.63,60.55,98.8,102.78,3.98,0.859611,1,ok,20260514T115417+0900_440_gpu-server_effb4_dvfs0_cuda_l075_r0_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,1,4.58,60.61,98.15,102.45,4.3,0.938865,1,ok,20260514T115537+0900_552_gpu-server_effb4_dvfs0_cuda_l075_r1_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,2,3.32,63.2,98.1,101.52,3.42,1.03012,1,ok,20260514T115657+0900_736_gpu-server_effb4_dvfs0_cuda_l075_r2_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,3,3.98,60.23,98.5,102.39,3.89,0.977387,1,ok,20260514T115817+0900_744_gpu-server_effb4_dvfs0_cuda_l075_r3_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,4,4.4,61.67,98.3,102.17,3.87,0.879545,1,ok,20260514T115937+0900_834_gpu-server_effb4_dvfs0_cuda_l075_r4_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,5,4.13,61.63,99.4,101.85,2.45,0.59322,1,ok,20260514T120057+0900_752_gpu-server_effb4_dvfs0_cuda_l075_r5_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,6,4.23,67.44,99.3,101.82,2.52,0.595745,1,ok,20260514T120217+0900_664_gpu-server_effb4_dvfs0_cuda_l075_r6_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,7,4.2,56.49,97.65,101.84,4.19,0.997619,1,ok,20260514T120337+0900_741_gpu-server_effb4_dvfs0_cuda_l075_r7_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,8,4.22,56.99,98.3,101.62,3.32,0.78673,1,ok,20260514T120457+0900_772_gpu-server_effb4_dvfs0_cuda_l075_r8_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,0.75,4.05,9,3.93,60.53,98.1,101.48,3.38,0.860051,1,ok,20260514T120617+0900_888_gpu-server_effb4_dvfs0_cuda_l075_r9_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,0,5.27,63.3,97.65,102.63,4.98,0.944972,1,ok,20260514T120738+0900_102_gpu-server_effb4_dvfs0_cuda_l100_r0_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,1,5.98,66.59,99.15,103.41,4.26,0.712375,1,ok,20260514T120858+0900_085_gpu-server_effb4_dvfs0_cuda_l100_r1_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,2,4.77,59.99,98.8,102.25,3.45,0.72327,1,ok,20260514T121017+0900_785_gpu-server_effb4_dvfs0_cuda_l100_r2_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,3,5.77,69.45,98.6,103.54,4.94,0.856153,1,ok,20260514T121137+0900_924_gpu-server_effb4_dvfs0_cuda_l100_r3_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,4,5.43,65.02,98.4,102.99,4.59,0.845304,1,ok,20260514T121257+0900_904_gpu-server_effb4_dvfs0_cuda_l100_r4_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,5,5.47,59.98,97.7,102.92,5.22,0.954296,1,ok,20260514T121418+0900_230_gpu-server_effb4_dvfs0_cuda_l100_r5_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,6,5.22,58.92,98.05,102.92,4.87,0.93295,1,ok,20260514T121538+0900_264_gpu-server_effb4_dvfs0_cuda_l100_r6_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,7,4.95,64.57,98.35,103.26,4.91,0.991919,1,ok,20260514T121658+0900_408_gpu-server_effb4_dvfs0_cuda_l100_r7_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,8,5.2,65.54,99.2,102.82,3.62,0.696154,1,ok,20260514T121817+0900_809_gpu-server_effb4_dvfs0_cuda_l100_r8_lsweep.json,1
gpu-server,efficientnet-b4,0,300MHz,dvfs0,server,5.4,1.0,5.4,9,5.67,66.71,98.35,103.28,4.93,0.869489,1,ok,20260514T121938+0900_306_gpu-server_effb4_dvfs0_cuda_l100_r9_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,0,10.93,41.3,100.8,105.8,5.0,0.457457,1,ok,20260514T122127+0900_259_gpu-server_effb4_dvfs1_cuda_l025_r0_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,1,10.55,38.15,98.3,105.03,6.73,0.637915,1,ok,20260514T122247+0900_326_gpu-server_effb4_dvfs1_cuda_l025_r1_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,2,11.28,41.13,99.4,105.17,5.77,0.511525,1,ok,20260514T122408+0900_539_gpu-server_effb4_dvfs1_cuda_l025_r2_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,3,10.92,40.02,48.25,105.18,56.93,5.21337,1,ok,20260514T122546+0900_720_gpu-server_effb4_dvfs1_cuda_l025_r3_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,4,10.57,41.94,99.65,105.02,5.37,0.508042,1,ok,20260514T122706+0900_952_gpu-server_effb4_dvfs1_cuda_l025_r4_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,5,10.38,40.5,98.15,105.05,6.9,0.66474,1,ok,20260514T122826+0900_961_gpu-server_effb4_dvfs1_cuda_l025_r5_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,6,10.48,39.15,99.75,104.71,4.96,0.473282,1,ok,20260514T122947+0900_085_gpu-server_effb4_dvfs1_cuda_l025_r6_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,7,10.57,41.4,99.8,105.04,5.24,0.495743,1,ok,20260514T123107+0900_372_gpu-server_effb4_dvfs1_cuda_l025_r7_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,8,9.63,40.44,98.9,104.81,5.91,0.613707,1,ok,20260514T123227+0900_386_gpu-server_effb4_dvfs1_cuda_l025_r8_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.25,10.55,9,10.15,41.56,98.5,105.03,6.53,0.64335,1,ok,20260514T123347+0900_513_gpu-server_effb4_dvfs1_cuda_l025_r9_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,0,21.57,51.98,98.2,112.59,14.39,0.66713,1,ok,20260514T123507+0900_738_gpu-server_effb4_dvfs1_cuda_l050_r0_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,1,20.57,46.49,97.9,111.65,13.75,0.668449,1,ok,20260514T123630+0900_152_gpu-server_effb4_dvfs1_cuda_l050_r1_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,2,20.33,47.15,99.15,111.53,12.38,0.608952,1,ok,20260514T123750+0900_693_gpu-server_effb4_dvfs1_cuda_l050_r2_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,3,20.17,46.25,98.3,110.93,12.63,0.626177,1,ok,20260514T123911+0900_770_gpu-server_effb4_dvfs1_cuda_l050_r3_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,4,21.7,47.17,98.5,112.43,13.93,0.641935,1,ok,20260514T124032+0900_851_gpu-server_effb4_dvfs1_cuda_l050_r4_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,5,21.75,47.29,98.5,112.44,13.94,0.64092,1,ok,20260514T124153+0900_759_gpu-server_effb4_dvfs1_cuda_l050_r5_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,6,20.68,48.77,98.6,111.73,13.13,0.634913,1,ok,20260514T124314+0900_856_gpu-server_effb4_dvfs1_cuda_l050_r6_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,7,21.27,47.68,99.3,112.2,12.9,0.606488,1,ok,20260514T124435+0900_941_gpu-server_effb4_dvfs1_cuda_l050_r7_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,8,22.07,52.33,97.5,112.44,14.94,0.676937,1,ok,20260514T124556+0900_954_gpu-server_effb4_dvfs1_cuda_l050_r8_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.5,21.1,9,20.62,47.13,97.8,110.74,12.94,0.627546,1,ok,20260514T124717+0900_942_gpu-server_effb4_dvfs1_cuda_l050_r9_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,0,32.17,63.54,98.3,120.49,22.19,0.689773,1,ok,20260514T124838+0900_571_gpu-server_effb4_dvfs1_cuda_l075_r0_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,1,32.45,60.38,98.6,121.63,23.03,0.709707,1,ok,20260514T124959+0900_553_gpu-server_effb4_dvfs1_cuda_l075_r1_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,2,31.57,56.82,98.95,120.25,21.3,0.674691,1,ok,20260514T125120+0900_246_gpu-server_effb4_dvfs1_cuda_l075_r2_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,3,32.23,61.74,99.1,120.65,21.55,0.668632,1,ok,20260514T125241+0900_279_gpu-server_effb4_dvfs1_cuda_l075_r3_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,4,31.3,58.05,99.0,119.67,20.67,0.660383,1,ok,20260514T125402+0900_375_gpu-server_effb4_dvfs1_cuda_l075_r4_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,5,31.17,56.12,98.25,119.34,21.09,0.676612,1,ok,20260514T125523+0900_434_gpu-server_effb4_dvfs1_cuda_l075_r5_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,6,31.22,57.84,99.3,119.97,20.67,0.662076,1,ok,20260514T125644+0900_480_gpu-server_effb4_dvfs1_cuda_l075_r6_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,7,31.75,70.75,99.4,120.88,21.48,0.676535,1,ok,20260514T125805+0900_637_gpu-server_effb4_dvfs1_cuda_l075_r7_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,8,32.18,62.52,99.6,120.68,21.08,0.655065,1,ok,20260514T125925+0900_998_gpu-server_effb4_dvfs1_cuda_l075_r8_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,0.75,31.65,9,31.13,63.53,99.9,120.08,20.18,0.648249,1,ok,20260514T130047+0900_161_gpu-server_effb4_dvfs1_cuda_l075_r9_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,0,41.82,110.98,98.55,129.05,30.5,0.729316,1,ok,20260514T130208+0900_112_gpu-server_effb4_dvfs1_cuda_l100_r0_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,1,41.47,82.66,99.45,128.16,28.71,0.692308,1,ok,20260514T130329+0900_134_gpu-server_effb4_dvfs1_cuda_l100_r1_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,2,40.85,83.13,99.8,128.02,28.22,0.69082,1,ok,20260514T130450+0900_136_gpu-server_effb4_dvfs1_cuda_l100_r2_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,3,43.82,119.12,100.4,131.05,30.65,0.699452,1,ok,20260514T130610+0900_684_gpu-server_effb4_dvfs1_cuda_l100_r3_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,4,42.97,91.48,99.75,129.76,30.01,0.698394,1,ok,20260514T130731+0900_828_gpu-server_effb4_dvfs1_cuda_l100_r4_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,5,42.32,92.51,100.25,129.26,29.01,0.685491,1,ok,20260514T130852+0900_874_gpu-server_effb4_dvfs1_cuda_l100_r5_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,6,42.93,96.27,99.7,130.16,30.46,0.709527,1,ok,20260514T131014+0900_016_gpu-server_effb4_dvfs1_cuda_l100_r6_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,7,42.12,80.12,99.4,129.97,30.57,0.725783,1,ok,20260514T131134+0900_905_gpu-server_effb4_dvfs1_cuda_l100_r7_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,8,41.77,97.42,99.6,129.79,30.19,0.722768,1,ok,20260514T131255+0900_938_gpu-server_effb4_dvfs1_cuda_l100_r8_lsweep.json,1
gpu-server,efficientnet-b4,1,420MHz,dvfs1,server,42.2,1.0,42.2,9,43.37,82.33,99.35,130.37,31.02,0.715241,1,ok,20260514T131417+0900_055_gpu-server_effb4_dvfs1_cuda_l100_r9_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,0,15.02,39.98,99.45,107.49,8.04,0.535286,1,ok,20260514T131606+0900_035_gpu-server_effb4_dvfs2_cuda_l025_r0_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,1,15.25,40.01,98.85,107.42,8.57,0.561967,1,ok,20260514T131726+0900_181_gpu-server_effb4_dvfs2_cuda_l025_r1_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,2,14.32,37.46,99.5,106.93,7.43,0.518855,1,ok,20260514T131846+0900_214_gpu-server_effb4_dvfs2_cuda_l025_r2_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,3,14.83,37.96,99.0,106.94,7.94,0.535401,1,ok,20260514T132006+0900_377_gpu-server_effb4_dvfs2_cuda_l025_r3_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,4,13.87,41.31,98.45,106.62,8.17,0.589041,1,ok,20260514T132126+0900_460_gpu-server_effb4_dvfs2_cuda_l025_r4_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,5,14.68,38.19,99.9,107.16,7.26,0.49455,1,ok,20260514T132246+0900_421_gpu-server_effb4_dvfs2_cuda_l025_r5_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,6,15.52,39.64,49.8,107.32,57.52,3.706186,1,ok,20260514T132421+0900_843_gpu-server_effb4_dvfs2_cuda_l025_r6_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,7,14.47,37.46,98.65,106.69,8.04,0.555632,1,ok,20260514T132541+0900_905_gpu-server_effb4_dvfs2_cuda_l025_r7_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,8,14.53,38.8,98.4,106.85,8.45,0.581555,1,ok,20260514T132701+0900_920_gpu-server_effb4_dvfs2_cuda_l025_r8_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.25,14.78,9,14.05,38.16,99.6,106.48,6.88,0.48968,1,ok,20260514T132821+0900_800_gpu-server_effb4_dvfs2_cuda_l025_r9_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,0,30.13,44.31,97.9,116.88,18.98,0.629937,1,ok,20260514T132943+0900_090_gpu-server_effb4_dvfs2_cuda_l050_r0_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,1,29.27,42.88,98.8,115.82,17.02,0.581483,1,ok,20260514T133103+0900_498_gpu-server_effb4_dvfs2_cuda_l050_r1_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,2,27.88,43.09,99.2,115.27,16.07,0.576399,1,ok,20260514T133223+0900_715_gpu-server_effb4_dvfs2_cuda_l050_r2_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,3,29.17,47.14,98.8,116.51,17.71,0.607131,1,ok,20260514T133344+0900_617_gpu-server_effb4_dvfs2_cuda_l050_r3_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,4,29.4,44.72,99.05,115.88,16.83,0.572449,1,ok,20260514T133505+0900_354_gpu-server_effb4_dvfs2_cuda_l050_r4_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,5,30.07,42.67,98.8,116.85,18.05,0.600266,1,ok,20260514T133625+0900_830_gpu-server_effb4_dvfs2_cuda_l050_r5_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,6,28.97,41.93,99.3,116.28,16.98,0.586124,1,ok,20260514T133746+0900_057_gpu-server_effb4_dvfs2_cuda_l050_r6_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,7,28.17,42.24,98.3,115.94,17.64,0.626198,1,ok,20260514T133906+0900_907_gpu-server_effb4_dvfs2_cuda_l050_r7_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,8,29.67,43.58,98.0,116.67,18.67,0.629255,1,ok,20260514T134027+0900_041_gpu-server_effb4_dvfs2_cuda_l050_r8_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.5,29.55,9,29.42,42.88,99.1,116.45,17.35,0.589735,1,ok,20260514T134147+0900_426_gpu-server_effb4_dvfs2_cuda_l050_r9_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,0,44.68,58.71,98.6,127.77,29.17,0.652865,1,ok,20260514T134308+0900_463_gpu-server_effb4_dvfs2_cuda_l075_r0_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,1,43.87,55.38,98.7,128.15,29.45,0.671302,1,ok,20260514T134429+0900_178_gpu-server_effb4_dvfs2_cuda_l075_r1_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,2,44.83,57.64,99.35,127.78,28.43,0.634174,1,ok,20260514T134550+0900_015_gpu-server_effb4_dvfs2_cuda_l075_r2_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,3,44.1,55.06,99.2,127.56,28.36,0.643084,1,ok,20260514T134711+0900_088_gpu-server_effb4_dvfs2_cuda_l075_r3_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,4,44.73,52.87,98.8,128.42,29.62,0.662195,1,ok,20260514T134831+0900_948_gpu-server_effb4_dvfs2_cuda_l075_r4_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,5,45.52,53.32,98.8,129.08,30.28,0.665202,1,ok,20260514T134952+0900_828_gpu-server_effb4_dvfs2_cuda_l075_r5_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,6,45.47,60.77,98.8,127.88,29.08,0.639543,1,ok,20260514T135113+0900_483_gpu-server_effb4_dvfs2_cuda_l075_r6_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,7,43.22,51.22,99.55,126.69,27.14,0.62795,1,ok,20260514T135234+0900_501_gpu-server_effb4_dvfs2_cuda_l075_r7_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,8,44.72,53.0,99.25,127.7,28.45,0.636181,1,ok,20260514T135355+0900_579_gpu-server_effb4_dvfs2_cuda_l075_r8_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,0.75,44.33,9,44.52,54.27,99.9,127.57,27.67,0.621518,1,ok,20260514T135516+0900_575_gpu-server_effb4_dvfs2_cuda_l075_r9_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,1.0,59.1,0,61.1,111.78,98.9,139.75,40.85,0.668576,1,ok,20260514T135637+0900_585_gpu-server_effb4_dvfs2_cuda_l100_r0_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,1.0,59.1,1,58.18,86.51,98.3,137.36,39.06,0.671365,1,ok,20260514T135758+0900_645_gpu-server_effb4_dvfs2_cuda_l100_r1_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,1.0,59.1,2,60.1,82.38,99.8,139.12,39.32,0.654243,1,ok,20260514T135919+0900_598_gpu-server_effb4_dvfs2_cuda_l100_r2_lsweep.json,1
gpu-server,efficientnet-b4,2,600MHz,dvfs2,server,59.1,1.0,59.1,3,59.32,111.85,99.55,138.18,38.63,0.651214,1,ok,20260514T140040+0900_528_gpu-server_effb4_dvfs2_cuda_l100_r3_lsweep.json,1
