model,model_label,segment,segment_label,segment_hex,device,dvfs_mode,dvfs_mode_label,condition_tag,capacity_ips,lambda_frac,load_group_pct,target_rps,n_runs,p95_latency_ms,ac_input_energy_j_per_inf,p95_deadline_feasible,deadline_normalized_ac_input_energy_delay_j_per_inf,deadline_normalized_edp_efficiency_inf_per_j,ac_input_energy_efficiency_inf_per_j
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,orin-nano,1,25W,dvfs1,28.8,1.0,100,28.8,10,109.19,0.242114,0,0.2643642766,3.7826593398360844,4.13028573316702
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,orin-nano,2,MAXN_SUPER,dvfs2,28.3,1.0,100,28.3,10,92.16,0.256056,1,0.2359812096,4.237625536774941,3.9053956946917863
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,orin-nano,3,7W,dvfs3,2.0,1.0,100,2.0,10,94.04,0.270451,1,0.25433212040000003,3.931866719890721,3.697527463385234
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,xavier,0,MODE_15W_2CORE,dvfs0,7.8,1.0,100,7.8,10,88.94,0.599433,1,0.5331357102,1.8756950263655403,1.6682431564495115
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,xavier,1,MODE_15W_4CORE,dvfs1,8.4,1.0,100,8.4,10,91.765,0.58841,1,0.5399544365,1.8520081184664923,1.6994952499107765
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,xavier,2,MODE_15W_6CORE,dvfs2,9.2,1.0,100,9.2,10,102.48,0.591162,0,0.6058228176,1.6506476331835012,1.6915836944864522
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,xavier,3,MODE_10W_2CORE,dvfs3,5.5,1.0,100,5.5,10,100.755,0.474526,0,0.4781086713,2.0915746984486874,2.107366087421975
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,xavier,4,MODE_10W_4CORE,dvfs4,5.2,1.0,100,5.2,10,98.615,0.474353,1,0.46778321095000003,2.137742391329404,2.1081346592094916
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,xavier,5,MODE_10W_DESKTOP,dvfs5,1.1,1.0,100,1.1,10,98.11,0.619659,1,0.6079474449,1.6448790243118598,1.6137908107523655
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,xavier,6,MODE_20W_2CORE,dvfs6,8.4,1.0,100,8.4,10,85.895,0.583133,1,0.50088209035,1.9964778523049862,1.7148746512373678
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,xavier,7,MODE_20W_4CORE,dvfs7,9.7,1.0,100,9.7,10,93.835,0.592916,1,0.5563627286,1.7973885535365461,1.686579549211018
efficientnet-b4,EfficientNet-B4,Jetson,Jetson,0072B2,xavier,8,MODE_20W_6CORE,dvfs8,10.7,1.0,100,10.7,10,104.055,0.59455,0,0.6186590025,1.6163993346237613,1.681944327642755
